id,label,type,domain,domain_label,content,source_count
diff,分化誘導プロトコル,concept,d1,細胞生物学・培養プロトコル,目的細胞へ誘導する多段階手順。iPSC→RPEは seeding / preconditioning / passage / induction / maintenance の5段階として定式化され、自動探索のテンプレになった。,1
signal,シグナル制御（添加因子）,concept,d1,細胞生物学・培養プロトコル,分化方向を決める阻害剤の濃度・タイミング。RPE誘導では FGFR阻害剤・SB431542(TGFβ)・CKI-7(Wnt)・Y-27632 等が制御変数。これらが最適化の探索空間になる。,1
suspension,浮遊・懸濁培養（量産）,concept,d1,細胞生物学・培養プロトコル,3次元浮遊撹拌で容積当たり密度を上げ量産する方式。突発的分化を化合物で抑制し、樹立→大量培養→直接凍結まで一貫化。自動化・スケールアップの基盤形態。,2
reprog,iPSC樹立（初期化）,concept,d1,細胞生物学・培養プロトコル,体細胞をRNA等で初期化しコロニーを得る最難関工程。形態が動的で良質コロニー選抜が職人技。財団・パナソニックが2026年に樹立工程の自動化実証に着手。,2
qccrit,細胞品質基準,concept,d1,細胞生物学・培養プロトコル,未分化マーカー発現・三胚葉分化能・核型など、製造物が満たすべき生物学的基準。自動判定の「正解ラベル」を定義し、画像代理指標と紐づける必要がある。,2
bf,明視野/位相差イメージング,concept,d2,画像取得・コンピュータビジョン,低光毒性で非侵襲なラベルフリー観察。一方で低コントラスト・不均一背景・ハロー/エッジ効果があり、頑健なセグメンテーションが難所。,1
conf,コンフルエンシー算出,concept,d2,画像取得・コンピュータビジョン,セグメンテーションで占有面積/コロニー面積を定量。継代や次工程移行の判断指標（例: 70-80%）として閾値化される中核メトリクス。,2
morphcls,コロニー形態分類,concept,d2,画像取得・コンピュータビジョン,良/不良フェノタイプをCNN等で識別。形態パラメータが未分化性・クローン性維持能と相関し、選抜・除外の自動判断に使う。,2
diffdet,分化領域検出,concept,d2,画像取得・コンピュータビジョン,未分化コロニー内の自発分化領域を検出・定量。分化率の閾値超過ウェルを除外したり、誘導の進行度評価に用いる専用DLモデル。,2
growth,増殖曲線予測→継代トリガ,concept,d2,画像取得・コンピュータビジョン,定期観察から面積値の増殖曲線を推定し、目標密度到達の至適時刻を予測。これがスケジューラと継代操作のトリガになる閉ループの起点。,2
dlmodel,DLモデル（分割/分類）,concept,d2,画像取得・コンピュータビジョン,セグメンテーション(面積/コンフルエンシー)と分類(形態・分化)の学習モデル群。ラベルフリー前提・低コントラスト対応・施設間汎化が実装課題。,2
dualarm,双腕ヒューマノイド,concept,d3,ロボティクス・液体ハンドリング,汎用器具をそのまま扱える人型双腕（例: LabDroid Maholo）。プロトコル変更に柔軟で、パラメータ探索や手作業の写像に向く。,2
closeddev,閉鎖型専用培養装置,concept,d3,ロボティクス・液体ハンドリング,装置内で取り出さず培養するクローズド機。無菌性・更衣簡略化・人為ミス低減に優れ、財団のmy iPS製造の中核アーキテクチャ。,2
dispense,自動分注・ピペッティング,concept,d3,ロボティクス・液体ハンドリング,培地・試薬の精密分注と吸引。液面追従・体積制御・無菌チップ運用が再現性を決める。リキッドハンドラ統合の基本ユニット。,1
transport,プレート搬送・把持,concept,d3,ロボティクス・液体ハンドリング,インキュベータ⇄顕微鏡⇄作業台間のプレート/容器搬送とグリッパ制御。スケジュールに沿う物流が自律運転の連続性を支える。,2
motioncap,熟練手技のモーション再現,concept,d3,ロボティクス・液体ハンドリング,熟練者の作業を動作解析し数値化してロボットで再現する思想。「誰でもできるよう数値化して自動化」が財団の自動化方針の核。,2
sched,スケジューリング,concept,d4,プロセス制御・自律最適化,12時間ごとの観察など定期タスクと、至適継代時刻のような条件起動タスクを編成。多細胞株・多バッチの並行運転を破綻なく回す制御層。,1
loop,クローズドループ判断,concept,d4,プロセス制御・自律最適化,観察→判断→操作のサイクルを人手介入なしで回す。画像メトリクスを意思決定点に変換し、通知か次工程実行かを分岐する制御ロジック。,2
bbo,バッチベイズ最適化,concept,d4,プロセス制御・自律最適化,数百万通りの培養条件を、ガウス過程＋バッチ取得関数で効率探索。RPE分化率を反復改善した自律実験の中核解法（GPyOptベース）。,2
doe,実験計画の定式化,concept,d4,プロセス制御・自律最適化,プロトコルをパラメータ空間に写像し、最適化問題として定義する工程。各操作を変数化（濃度・日数・剥離強度等）し探索可能にする前処理。,1
sdl,自律実験 / Self-driving Lab,concept,d4,プロセス制御・自律最適化,ロボットが自ら結果を評価し次実験を計画する枠組み。再現性ある細胞製造に向け、探索空間の系統的・無バイアス探索を加速する。,2
rl,強化学習（発展領域）,concept,d4,プロセス制御・自律最適化,方策学習による操作・条件最適化。製造GMP文脈では検証可能性が壁で、現状は画像判断・BOが主流、RLは研究段階。,1
sila,SiLA 2（デバイス標準）,concept,d5,ソフトウェア基盤・相互運用,HTTP/2＋Protocol BuffersとFeature Definition Languageで意味的に同一なデバイスIFを標準化。ベンダロックイン回避と統合工数削減の中核。,2
opcua,OPC-UA / LADS,concept,d5,ソフトウェア基盤・相互運用,"産業で普及するM2M標準OPC-UAと、その研究室向けコンパニオン規格LADS。SiLA2と並ぶデバイス通信の選択肢で、製造ライン連携に強い。【P3】LADS v1.0.0(2024年1月, OPC Foundation+Spectaris+VDMA)はバイオリアクタを明示的にモデル化—Functional Unit×Function(analogセンサ/controller/program)構成で、auto_cellのchannel_config/tool_schemas/EBRに直接対応。Eppendorf DASware等プロセス制御機はOPC公開。A層バイオリアクタ制御のデバイスIF第一候補。",1
mtp,MTP（モジュール型パッケージ）,concept,d5,ソフトウェア基盤・相互運用,モジュール式・柔軟自動化を可能にする記述。SiLA2と組み合わせ、R&Dから製造へのスケールを支える構成管理の枠組み。,1
orch,ワークフロー・オーケストレーション,concept,d5,ソフトウェア基盤・相互運用,"タスクとデータと物理ハードを途切れなく統合する制御フレーム（AlabOS, Helao 等）。各機器をサービス化し横断ワークフローを管理。",1
gateway,レガシーデバイス・ゲートウェイ,concept,d5,ソフトウェア基盤・相互運用,独自IFしか持たない既存機器を標準IFへ橋渡しするゲートウェイ層。GPIO/USB/シリアル接続と遠隔監視で「スマート化」する。,1
lims,LIMS / LES（情報・実行系）,concept,d5,ソフトウェア基盤・相互運用,検体・試薬・手順・結果を記録/指図する上位システム。デバイス層からのデータを集約し、バッチ記録・トレーサビリティに接続する。,2
datamodel,データモデル / インジェスト,concept,d5,ソフトウェア基盤・相互運用,画像・センサ・操作ログの標準化された取り込み。新旧機器の異種IFを跨いだ「データ取り込みギャップ」の解消が自律運転の前提。,2
gctp,GCTP（再生医療等製品製造管理）,concept,d6,GMP・規制・データインテグリティ,再生医療等製品の製造・品質管理基準。製造設備に加え管理手法の適合性をPMDAが調査。製造ソフトの設計境界を規定する。,1
ramlaw,再生医療等安全性確保法 / 施設基準,concept,d6,GMP・規制・データインテグリティ,細胞培養加工施設の構造設備基準と適合性調査の根拠法。my iPS製造施設はこの枠組みでPMDA適合性調査を受け稼働を目指す。,2
alcoa,ALCOA+ データインテグリティ,concept,d6,GMP・規制・データインテグリティ,帰属性・判読性・同時性・原本性・正確性＋αを全ライフサイクルで満たす原則。製造/解析で生成する全データが従うべき設計要件。,1
csv,CSV / CSA（システムバリデーション）,concept,d6,GMP・規制・データインテグリティ,計算機システムが目的適合かつALCOA+準拠であることを文書化した証拠。技術的統制で担保するのは複雑で時間を要するが必須工程。,1
part11,21 CFR Part 11 / Annex 11,concept,d6,GMP・規制・データインテグリティ,電子記録・電子署名の監査性と安全な取扱いを求めるFDA/EU規制。電子系の設計（権限・署名・改ざん防止）の直接要件。,1
ebr,電子バッチ記録（EBR）,concept,d6,GMP・規制・データインテグリティ,製造工程で生成される改ざん不能な電子記録。前工程データの検証で次工程の整合を担保し、逸脱時の是正を可能にする。,1
audit,監査証跡（Audit Trail）,concept,d6,GMP・規制・データインテグリティ,誰が・いつ・何を変更したかを追える記録。データインテグリティとPart11準拠の中核で、全操作のロギング設計が必要。,1
capa,CAPA / リスク管理（FMEA）,concept,d6,GMP・規制・データインテグリティ,逸脱・品質事象の根本原因分析と是正/予防措置。FMEA等のリスク評価が製品・工程設計の判断を導く。ソフトの逸脱検知設計に直結。,1
envmon,環境モニタリング（DO/pH/CO₂/温度）,concept,d7,センサ・環境モニタリング,培養環境の連続計測。維持培養や量産の安定性を支え、閉ループ制御の状態量を供給する。エッジ実装（ESP32等）で分散計測が可能。,1
sterility,無菌性・コンタミ監視,concept,d7,センサ・環境モニタリング,菌混入や逸脱の検知。閉鎖系では更衣簡略化と引換えに監視設計が重要で、9日連続運転でも重大エラー/汚染ゼロが品質目標水準。,2
cpv,インライン/アットライン分析（CPV）,concept,d7,センサ・環境モニタリング,"工程内・近接でのリアルタイム計測で工程性能を継続検証(CPV)。AI/自動化が高スループットQCと工程安定性監視を可能にする。【P5】具体スタック(2026-06-15調査): VCD=in-line capacitance(Aber FUTURA/Hamilton Incyte, Manstein iPSCで定性検証), 代謝物=in-line Raman(CHOで閉ループglucose制御実証)＋at-line Nova BioProfile FLEX2(16項＋osmolality/viability), 凝集体径=in-line DHM(Ovizio)/FBRM(CLD≠径) or at-line画像(Kropp2019/FlowCam, 日次)。品質(未分化/同一性)・無菌はoffline=BO目的関数専用。",5
edge,エッジセンサ統合,concept,d7,センサ・環境モニタリング,マイコン/IoTによる多点センサ取得とデバイス層への配信。標準IF（SiLA2/OPC-UA）やゲートウェイ経由で上位へ集約する接点。,1
cira,CiRA財団 / my iPS,player,d8,エコシステム・プレイヤー,自家iPSの閉鎖系フル自動製造を推進。約3週間・原材料費約100万円/人を掲げ、PMDA適合性調査・非臨床を経て2028年度の治験開始を目標。,3
terumo,Terumo BCT / Quantum Flex,system,d8,エコシステム・プレイヤー,2024年に財団と提携。Quantum Flex Cell Expansion System上で閉鎖・自動・統合プロセスを構築し、デジタル技術で効率と制御を高める。【P3】Quantum FlexはCPAソフト(プロトコルビルダ/最大100台フリート/cGMP)の閉鎖ターンキーで、公開デバイスAPIは確認できず＝自前ブレインの閉ループ制御対象ではなく商用/臨床エンドポイント(連携するなら監視のみ)。,1
pana,パナソニックHD,player,d8,エコシステム・プレイヤー,岩田研由来の閉鎖型自動培養の系譜。2026年4月、中之島クロスでiPS樹立工程の自動化実証を開始し、最難関の樹立に踏み込む。,2
kaneka,カネカ × 理研（林洋平ら）,player,d8,エコシステム・プレイヤー,財団研究開発センターと共同で、樹立から大量培養までを一貫させた浮遊培養をeLifeに報告。量産・自動化の基盤形態を提供。,2
rbi,Robotic Biology Institute / Maholo,system,d8,エコシステム・プレイヤー,双腕ヒューマノイドLabDroid Maholoの提供元。汎用器具操作と高再現性で、自律探索プラットフォームの物理基盤を担う。,1
epistra,Epistra（自律最適化）,player,d8,エコシステム・プレイヤー,Maholo×AIの自律実験を支えた企業の一つ。実験計画・ベイズ最適化など最適化エンジン側で関与。,1
moldev,Molecular Devices / CellXpress.ai,system,d8,エコシステム・プレイヤー,イメージングベースのAI判断で給餌・継代を自動化する商用システム。DLで形態/分化を識別し、24/365運転で複数株を拡大。,2
astellas,アステラス製薬（双腕ロボ）,player,d8,エコシステム・プレイヤー,双腕ロボットでiPS培養を自動化し、治験用供給を企図。製薬側からの製造自動化プレイヤー。,1
src_kanda,Kanda et al. 2022 (eLife),source,d4,プロセス制御・自律最適化,自律ロボット×バッチベイズ最適化でiPSC-RPE分化を最適化した記念碑的論文。プロトコルの5段階定式化とパラメータ探索、コード公開を含む。,2
src_riken2020,理研 自律培養 2020,source,d2,画像取得・コンピュータビジョン,人型ロボット×AIで12h観察→増殖予測→至適継代を9日間自律実行。閉ループ自律培養の国内先行実証。,1
src_sila,SiLA 2 標準群,source,d5,ソフトウェア基盤・相互運用,デバイス相互運用の標準。Tecan SDK・SiLA2 Manager・cell culture autopilot事例まで、実装に直接使える資源群。,3
src_gctp,PMDA GCTP / 適合性調査,source,d6,GMP・規制・データインテグリティ,再生医療等製品の製造・品質管理の適合性を定める一次情報。製造ソフトの規制要件の出発点。,1
src_cgt,CGT QC/QA（ALCOA・Part11）,source,d6,GMP・規制・データインテグリティ,データインテグリティ・CSV・CAPA・CPVを横断する実務解説。電子系設計の要件マップとして有用。,1
src_cxa,CellXpress.ai 適用ノート,source,d2,画像取得・コンピュータビジョン,コンフルエンシー/分化のDL2モデルと閾値起動の自動継代を具体記述。画像→意思決定の設計参照。,2
src_susp,浮遊培養 一貫化（eLife）,source,d1,細胞生物学・培養プロトコル,樹立→大量培養→直接凍結まで浮遊系で一貫。量産・自動化の生物学的基盤。財団・理研・カネカ共同。,2
kinetics,浮遊培養速度論モデル（Tier2 plant 原典）,concept,d1,細胞生物学・培養プロトコル,"iPSC浮遊培養の比増殖速度をMonod型で表すin silicoモデル。auto_cell Tier2 plant_modelの原典はManstein & Zweigerdt 2021（SCTM/STAR Protocols, src_manstein）で、グルコース・乳酸・グルタミン・浸透圧・凝集体径の阻害項を持ち、灌流で7日35×10⁶ cells/mLを達成した過程制御モデル。Table1定数(µ=1.35/d, KGlc=1.5mM, KLac=50mM, KGln=0.01mM, KOsm=500mOsm/kg, KAgg=350/2=175µm径)はplant_modelと完全一致。Galvanauskas 2019(src_galv)は3項のみの近縁別モデル。",1
src_galv,Galvanauskas et al. 2019 (近縁の3項モデル),source,d1,細胞生物学・培養プロトコル,"iPSC浮遊培養速度論の近縁モデル(Galvanauskas/Kino-Oka 2019, Regen Therapy 12:88-93)。グルコースMonod＋乳酸阻害＋凝集体体積阻害の3項のみで、グルタミン制限/浸透圧項は持たない(明示的に省略)。定数もplant_modelと異なる(µmax≈2.35/d, KG≈7mM, KAgg=5.6e6µm³体積)。deep-researchが一旦原典と誤推定したが、真の原典はManstein 2021(src_manstein)。",2
src_borys,Borys et al. 2021 (Stem Cell Res Ther),source,d4,プロセス制御・自律最適化,iPSC Vertical-Wheel(PBS Biotech)撹拌最適化。40rpmが最大増殖(day6で32.3±3.2倍)、day5凝集体径169-275µm、>400µmで壊死予想。撹拌CPPの文献アンカー(最適40-60rpm、auto_cellの50-120rpm上限は高め)。,1
src_kropp,Kropp/Lipsitz et al. 2015 (BMC Proceedings),source,d4,プロセス制御・自律最適化,hPSC撹拌懸濁のBox-Behnken DoE。pH7.3/37℃、毎日給餌で高密度、播種2×10⁵が最適、DOは本研究で非有意。注: HES2(ESC)・Micro-24振盪式(400rpm=振盪周波数)でiPSC/インペラ槽への転用に注意。,1
src_traj,Nogueira 2019 / Olmer 2012（到達密度 実測）,source,d1,細胞生物学・培養プロトコル,バッチ vs 灌流の到達密度差。標準バッチはNogueira(Vertical-Wheel)=peak 2.3×10⁶、Olmer(撹拌槽)=2.4×10⁶ cells/mL止まり。plant_modelの検証目標35×10⁶はManstein 2021の灌流プロセス(src_manstein)で達成される値で、バッチでは到達しない。,2
src_manstein,Manstein & Zweigerdt 2021（plant_model 原典）,source,d4,プロセス制御・自律最適化,"auto_cell Tier2 plant_modelの真の原典。hPSC灌流撹拌槽培養をpH7.1/DO40%/浸透圧ピーク抑制/灌流で制御し、7日で70倍・35×10⁶ cells/mL(150mLで52.5億細胞)を達成。Monod型in silicoモデル(Table1: µ=1.35/d, KGlc=1.5mM, KLac=50mM, KGln=0.01mM, KOsm=500mOsm/kg, KAgg=350/2=175µm)はplant_modelの6定数と完全一致。撹拌80rpm(150mLスケール)。",2
src_lads,OPC UA LADS v1.0.0 (OPC Foundation),source,d5,ソフトウェア基盤・相互運用,"Laboratory and Analytical Device Standard。OPC-UAコンパニオン規格(2024-01, OPC Foundation+Spectaris+VDMA, OPC 30500-1)。Functional Unit/Function(sensor analog/discrete/multi-state, controller, actuator)＋Program/Result管理＋Asset/保守。バイオリアクタを明示例として槽=Functional Unit(温度センサ+モータ+program)でモデル化。auto_cellのDomainVertical面に直対応。",2
ctrl_split,制御権限の二層分界,concept,d4,プロセス制御・自律最適化,"協業前提でデバイスを設計指定するとき、安全クリティカルな高速ループはデバイス局所コントローラ(検証済PID: 温度37℃/pH7.1/DO40%/撹拌rpm, 秒オーダ・決定的)に置き、ReActブレインは監督制御(設定点変更・灌流/給餌率・サンプリング/継代トリガ・アラーム応答, 30秒+オーダ)に限定する。LLMは高速ループを閉じない(安全/CSV)。緊急停止・無菌バリア・ハード保安連動は安全系のみが強制し、ブレインは読み取りのみ。",1
devprofile,デバイスプロファイル / ICD（協業の成果物）,concept,d5,ソフトウェア基盤・相互運用,"協業でデバイス側に実装を指定する単一の情報モデル(Interface Control Document)。LADS/OPC-UAのFunctional Unit/Function/Programで表現し、これがdevice実装とauto_cellのDomainVertical(channel↔sensor Function, tool↔controller Function/method, EBR↔Program/Result, event↔alarm)を束ねる。setpoint範囲・単位・検証済包絡線を含み、second-source(別ベンダ実装)を可能にする。bespoke REST/gRPCを一次契約にしない。",1
